osm_type,name,surveillance_type,opening_hours,latitude,longitude
node,Unnamed Convenience Store,,08:00-20:00,14.6009796,121.0594506
node,La Loma Fire Sub-station,,,14.6316513,120.9947341
node,Pandacan Police Station,,,14.5931654,121.0035632
node,7-Eleven,,24/7,14.6209012,121.0482252
node,7-Eleven,,24/7,14.7316883,121.0485242
node,IBP Fire Sub-Station,,,14.694632,121.0958113
node,7-Eleven,,24/7,14.5764143,120.9892613
node,Galas Fire Sub-station,,,14.6118927,121.0090976
node,Puregold Jr.,,,14.5856886,121.0015243
node,Station 3,,,14.68709,121.025001
node,Central Market Police Station,,,14.6039633,120.9846776
node,Republic Supermarket,,,14.60287,120.981529
node,QCPD Station 1,,,14.6318513,120.9949851
node,Tesoros - Mabini,,,14.5768065,120.9814894
node,Station 2,,,14.6477905,121.0280928
node,St Patrick,,,14.6291668,121.0567075
node,Dagonoy Police Community Precint,,,14.5720282,121.0044632
node,7-Eleven,,24/7,14.6771024,121.0323916
node,Se5,,,14.625221,120.987579
node,B.F. Fire Sub-station,,,14.68971,121.07682
node,Unique Novelties,,,14.6449105,121.0215928
node,Fire Chiefs & Fire Fighters Group,,,14.6422715,121.0215928
node,Fairview Fire Sub-station,,,14.7073576,121.0730047
node,Welcome Supermarket,,,14.6175006,121.0022156
node,7-Eleven,,24/7,14.6781915,121.0822598
node,The Marketplace,,07:30-22:00,14.5997663,121.069314
node,Sänti's Delicatessen,,09:00-08:30,14.5999708,121.0691303
node,,camera,,14.6442202,121.037501
node,7-Eleven,,24/7,14.6114017,121.0362633
node,7-Eleven,,24/7,14.5677728,120.9892666
node,7-Eleven,,24/7,14.5599939,120.9896579
node,7-Eleven,,24/7,14.6003768,120.9993475
node,7-Eleven,,24/7,14.6379751,121.0741733
node,,camera,,14.6551351,121.0308275
node,Mightee Mart,,,14.6346285,121.0062556
node,Robinsons victoria tower,,,14.6361614,121.0276869
node,7-Eleven,,24/7,14.5726545,120.9849083
node,7-Eleven,,24/7,14.6683879,121.0204216
node,Mary's Store,,,14.6167712,121.0064473
node,Uncle John's,,24/7,14.5727651,120.9856932
node,7-Eleven,,24/7,14.5775371,120.9818161
node,7-Eleven,,24/7,14.6330322,121.0200851
node,Norma's Store,,,14.60945,121.003949
node,Aling Mercy's,,,14.6096576,121.0040633
node,7-Eleven,,24/7,14.6226308,121.0520601
node,QuickStop,,,14.6228771,121.0521744
node,Uncle John's,,24/7,14.6245177,121.0559758
node,7-Eleven,,24/7,14.6240952,121.0492453
node,Sioland Supermarket,,,14.6930397,121.0302331
node,Uncle John's,,24/7,14.5915609,120.9719574
node,7-Eleven,,24/7,14.7194245,121.0397483
node,Puregold,,,14.6256762,120.9885778
node,7-Eleven,,24/7,14.6324692,121.0598427
node,Uncle John's,,24/7,14.5743184,120.9844487
node,7-Eleven,,24/7,14.6364023,121.0359346
node,Uncle John's,,24/7,14.5985566,120.9791662
node,Uncle John's,,06:00-00:00,14.5620917,120.9946626
